imageID,Input.reward
306OACM7G04QOX49OC3VEMIMU7KA8L,0.3
31TTIPZ8XM69HILWQZWMCQMN1KS3GE,0.07
39Y8ZSVZWWM1XMK47AFGQNZOPQQVZE,0.04
39Y8ZSVZXXM4Z9DMIL8I9OJZBK9VZ6,0.1
3AA189Q6B51983MEFLORU493K7KMWE,0.04
3AA189Q6C6N6C9XRHK508ZBLMH8WM3,0.01
3AJ89545NQRFJUS6JU65GFBBEJ7BEW,0.02
3B9PUZPHFHW5PZT5Q7OV88NG9W6JA5,0.05
31ZZN31VRB1J1I6XNAS9X9DBA59QRV,0
3BGEFHL0JHEL8I3UU0A0G1OJRYOJBS,0.35
3BK5FW2G6MZ18ENS8D29GOXE9AHRCA,0.15
3BRG9Q58M1LAH7AQ01RWX47CRWFYQ2,0.25
3CP9VRCFS74RV9VXRUIMMBYWTQDUEZ,0.25
3CTCX9NXB5M1LSUM0XPXZV8QE2WLJA,0
3CTCX9NXC67QIV0KKFDEFSMCFTJJLN,0.5
3D00S7P7YG22I1NWJE5APKC40DIEZA,0.5
3D3KZYB03KLUXQ4AWC4FKH86OYE8VD,0.02
3203J2GC2PK4HSXGZ2GG1073Z7V84O,0.06
3D8B00U52IVJZWECZOBXRVFXL2U83O,0.01
3D8B00U52IVJZWECZOBXRVFYHAV833,0.05
3DBJK6OC3AF4JLMP40JUKZIT4XNYF3,0.2
3DECMKXKT815JCLN1RI1KKDJDFAMBB,0.01
3DPZKFEUURUGTQUQB4SOUUG5ZFPI4V,0.07
3DXFGU9SKN7P79WJOTN6EK4MLG3EXS,0.05
3203J2GC2PK4HSXGZ2GG1074VAS84P,0.05
3DXFGU9SLODY46WA7XIQCVBUTMKEXQ,0.9
3EJ1F91ANSU6O8N3S3NGZ4GVCA2IZW,0.1
3ERG9KP7KAETHL286FNRQ00RYLWCHM,0
3EULM6QNGEDGI0DDZ62WA3R8YV4JXB,0.03
3F0Z1FPMUNUP6TOTMH2XGS6T5GJLYU,0.05
3F0Z1FPMUNWB7D1EFV5M6IVBAHELYR,0.06
3F2SNR5B8MKSI92Q9DG0FV11BKO0HL,0.03
3FOA7RUSUPLLDDXZNITMB1EHL6FPGL,0.1
3FQJF6D1R1SUSJ130G368H5I02G92S,0.05
3FQJF6D1S2STVEIP11IICRPWDI892M,0.03
320GLP60AN6FM9FGZXIOL5AG38941T,0.05
3GBCJUK5C2GRHG97MHYVG9NBQMOPK9,0.02
3GRRK9BQWRDBESRD36S5634M392PD9,2.02
3GRRK9BQWRPD54OGKFA4YQ8537VPDJ,0.05
3GZMSD8U5X9MRGKQIZ546O8UKC795T,0.05
323KIQYDLQ7S9UIT4NE6QLFONB14CB,0.05
3GZMSD8U6Y8M82W4VRHXFG1G1IS95R,0.07
3H41Q6XMRNUCK2PCFPR6Y35LJFT2GW,0.01
3H5CSD5832HNKRNN8SDJ6TWED17E80,0.01
3H5CSD5832HNKRNN8SDJ6TWL583E8G,0.01
3HBZ8AD97D3GZ7VEBIN9M18U9EHNN5,0.1
3HQI26VRPRS5H4RSBPY2KOCMRQ13R0,0.02
3HVLA9UQN4GKVQOHDHMDH1A7KETU66,1
3HYDIS22CWMMEZBE3G64NG7ZMZON5V,0.2
3HYDIS22DXJRRCQBI3AE9ELUHK15NC,0.2
3I5ZXD44IULX7AZS354F5V5W46GJCA,0.01
3I5ZXD44JV69M8DWVE4I5ER80XVCJX,0.05
3I5ZXD44JVHG9J4AOHWFS96B5XBJCP,0.01
3ID43DSF5JBJ2SZGW2H8HR9RGRT5G5,0.01
3IE95L92ROOBGIB0W5PPNWUUL5E7M3,0.07
3IR329NZ7YGB0BGT612CO4BTUIW2K0,0.2
3IRUE3ZCDH3J5468JOOGJ1Y2ZWZIC5,0.1
3J06FGISLU272UJU8S9F5O38AK5K50,0.03
3J06FGISMVRO4EVZMT2NFJ1KME95KI,0.01
3J567DP9LLBDQUW0322ZJ0FWFWZFPB,0.07
329GGY5YRI5WHTWS4FZ9QWPAMFRT4W,0.15
3J5HEGTZRLQ9SE8SW9LZS2A15OXGGI,0.06
3JGBBKK855Q5HY1J6RVO56S97I9J0I,0.1
3JGLGV9D6KL86TQHYYZCMI0V13JD5Y,0.05
3K0G5SYN9K0M6D335K10A1FE8RM8MU,0.4
3K0G5SYNALYS7SB8UL3I5RQZNM3M85,0.35
3K0T7FOBIJOUXM7ZLBPJYBSGQYWM14,0.5
3K27O5FVBZ6Y1U1OKHZVRLOYVIWW5C,0.2
3K3X4GGOSLN6JKEE0NBXYD5PSA6MC7,0.05
3K3X4GGOSLN9WHITSDB41LMDI6SMCK,0.05
3K9T2ON9ZE5ORLPELXZMHUO84LJMTT,0.1
3KNJI1FZ8L912486RAFQQV3ZEP6NQU,0.25
3L4EWVFWCZFLPLXQZ7MWBK7MU2X9OK,0.03
3L8V324VIV0JU2BOPG7PUH68F6NF91,0.03
3L8V324VIVQEQ524CR2N49U2T8GF9N,0.02
3LBF4GRVWQSB1V8AOKNI47EZJYMDDE,0.05
3LCM1J6T1CTW3PUN949YD9G6A99CYC,0.01
3LE9INWSFWFC7U06C7E8H83VJHH0ML,0.08
3LJE53CC7VYWE1O3MIQ180XM33HESQ,0.02
3LLXQSS3GH7EI0TIBFCZBVHJURL2FW,0.09
3LV0310AAZ0POAIRABRDV0CJ4TWKD9,0.05
3LV0310AAZ5BVL06B1AU1YGZUNKDKM,0
3LV0310AAZ7UO39UCWLZNYY1B3BDKS,0.4
3LV0310AB0FIJI1LDLADGNAZ3BMKDF,0.03
3M35MA94IX9MX6PXAQCG5JTOJ1HNO3,0.03
3M6KHLIXGO95W4HFFOS373KMUDHIRT,0.5
3ME56J5KH09H8MTADW07EI1HZMYC6P,0.01
3MGKBFT74NRL5KAEINTLHYIV1ONSJ5,0.03
3MK14RC5NS9WDGLCZVLGWCZQJ24T6G,0.01
3MK14RC5NS9WDGLCZVLGWCZQJ2BT6N,0.02
32JRJ3GOYGFHSVM6IWA88RJNYD8U1D,0.15
3MNYFQMXON9G1T2C2HOQSK4JSIPY01,0.06
3MQJWSYXNGSYPF0J90X7JRB4GS9O5U,29.5
3MQJWSYXOHGDXJ3GAF96UH2KF625OC,0.8
3N9FD9XF48K5Z4R4YKZ4XC3B2YYEVL,0.07
3NAD71TD8V1W7T0ET8V40F6WWDIL2U,0.06
3NCF7G1XJIORLK6VK0UD85LOJVCNAC,0.02
32SOQFN7RN4Q5SNOXDF8KS0W4TRIPM,0.02
3NCF7G1XKJPJCCJPOHEQSUA1GNWANP,0.04
3NE6EBGK47BU93BYGGU8IB2LO7NE35,2
3NJ4SYXGOJNVJBRMT3TGCL1CL9UBNQ,0.3
3NXBKB5598TPF5MRSRS8QPZELKSL9C,0.15
3O73QR1UY8O4VXGQ4UMU1W2GKGC94O,0.05
3OQEO5BIM1SME8SFQJ108NKG2ZKU9F,0.2
3OQEO5BIN29PS6BYUHRH0ABF87P9UL,0.9
3OR6S1RAC52TCC0V5OHKA3WQNHZAGY,0.05
3P15LLOAR9NU663LLUNNP8EDOYG9ZV,0.1
3P6UG6V268Y9VTMB4YR44MFGIGC4NX,0.35
3PBTVBPQ8T2RUQ4LSR4U2IGAMAGLG7,0
3PBTVBPQ9UHWF8TU0BNM18QB456LGV,0.02
3PLXPMD6WGC7AIQBYMRH2GBAFTWKBJ,0.15
330XZFCZ7R2IEZH3T3I3O6ANM0DXTM,0.05
3Q4WZ5V3MNIH1FT2QKH2OURKHS1UGI,0.05
3Q9ARQ9ZAP4L7I0LVYTFN28MIJR3MM,0.4
3QLL1RLFYUJL8BWXI76KVR6VTA8G40,0.05
3QNALI7B4SD1ONKL4C5DCUTXSZAZ55,0.01
330XZFCZ7RB627L6HWI9543W690TXG,0.05
3R35RPFD8KSAWMKG8PKUBRZ71RYP19,0.03
3R39EOJX7B7B0RBVIOI0YF8QUNBFFR,0.03
3R39EOJX7BI6S1MO8YC8O4DE709FF7,0.05
3R7DCNC1NO24TFH8BGUHQFOR9KEUDP,0.05
30E2X49V611K26Z0IIHLB47CQY63NG,0.01
33EWWXEH81XUPFZ4BLANE2SZQMJ40X,0.1
3R8NDUBSE5C5KWKOVCROU8T8BNKK4W,0.01
3R8NDUBSE5CIIDI6K37BBGYS2U64KU,0.04
3R8NDUBSE5CRYRKXR6M9AB02Z7L4K5,0.15
3R8NDUBSF67O3EBOSQ1IL6C0CLD4KT,0.03
3RPY1MM09GJ0DPT9E5P5CCJTRTWMHE,0.05
3RRYB8LG3ZH82HFOZGL7ANT68BKKUX,0.1
33FLRCV01N0NF725EJLGLLU8UGYORG,0.1
3SBA6YTBY276L0SZ55XU5R7VV8FOBP,0.2
3SI493PTSWP6VJGGSL9VZHEJP2GDZ2,0.02
3SIEQXXS6F7PLDK653FBMIWP0ADQ4C,0.2
3SJ1BZ9YMZFJKL9JAYIH6SXUEFF7N6,0.05
3T1550FWLKIS93DC7DPTY5M29UHWXP,0.1
33QM7VBL79CAH7ME53S2DMVHTOZ3QX,0.15
3T6HLR4BXW65EY3SGXC7I8ILF1889L,0.05
3T6UNEUZ5USMH6KL5FCL3O350KM199,0.02
3TFUINTXMP1P2TVK22ZNBIA74UYT95,0.05
3TFUINTXNQRB8MQUNU8RNTUAF5A9TC,0.07
3TJJ8HSJWJ7V3WKXYD3KKOVHU4N28W,0.02
33RX46D1RXVH625SCIG7UWSYT80X1J,0.04
3TO8OQV8RRE8TSS50K77OY4BTUOOLO,0.1
3TYSWKZBELVFE846EGCGPUMG5XR7G5,0.03
3U2H1DGWOPTCKLUQYVRKVZHY3Q4F4G,0.04
3U47UEJKWC6S8AEVXI8SUW72VHPLB6,2.8
3U47UEJKWC8E1D3WG0VTNM1UKCYBLF,0.01
3U47UEJKXD5R38RUXLMDWG1BUJXLBR,0
3U6BJ3K2B9GQGJVT0E99IGFE7I2MEG,0.05
33XMDKLTFSU7YK1SQJZ2MPHPZ4ZZCZ,0.3
3UKAYM2G38LNW9YPLTZSPTC333T903,0.05
3USMLONC9E5MDB1GD7ZQ6SDG14K85P,0.08
3USZNBD0ID5Y2E7UC1NHCD5VH1M51A,0.01
3UV3KC5DTGMOGZ30EI3U2F567A15CS,0.06
3UXCLCQO1UDWROO910PGOYLD3QJ20A,0
3VHU2SWT3EI2EPQKMFU0IXHUUZKSPE,0.5
3VKCYEEK5GTFPTFE2CSUAPH4AEKG1E,0.35
344RGS4J7S874QSQIPH3B5TQWFPMPU,0
3VNGVF6XGJQ1QLT33BZ7QKAQGJTGC8,0.07
3VPHDNYYW05RMXRPFB37FMZTE8FOX6,0.1
3VS2P0ED9S8WCYR5XKUI3WE62NIZOD,0
3VS2P0ED9S9HPWVU5TDRGGPE3WLOZL,0.2
3VTCTNDIMBI4MSZRCFZ5EXG7KAVTGQ,0.02
3VXAY8PX9568FZGV4FQLLH1QFO0UBC,0.07
3W718UE9EUVUJGAIW7WCSAJ232S8KV,0.03
3W7EAH4XLRRHWHV8PSJNN5I48Z5K1Z,0.04
3WNTBWVI7IICS3U5SPMYXHW39RR1DW,0.1
3X3BKUX7FNI4TQBH6Z6BCBN743AUUW,0.05
3XCMB0010Q8CROANL93DZ0TZ7HDP3B,0.03
3XFOW6US4G39LHGXH58DQK2U59EF7W,0.06
3XKJYHBF1PGIGZAV82J26HU67K1S94,0.13
34KQN2TBKTGWLIK008X22C5QD2JSAJ,0.04
3XKJYHBF2QXEJ36G795O9QJC5X59SV,0.02
3XLULPCEJ5A20HTSPHJ11BGOHJ2K00,0.1
3XLULPCEK6XSKDKZU2VPQEQSWADK07,0.05
3XOONX5XJ4G5CUJT3GITEEBP8TAR9P,0.02
3XQ5ITPVUWC5A41L5RJWP1DP30VQTX,0.03
3XQ5ITPVVXEK5RIJJ0S4JMU41HATQO,0.05
3YATNUOYWN28VJEWP8MVZLA65TU5R8,0.01
34RF8KPUOTU14SPS6MXYXNPWVK1SBB,0.03
3YE2HAAZLWT35EOEU3RFNMQ5RC4ZU3,0.15
3YJAOW5N8OU26Z949MJ65YS6Q7GNS0,0.2
3YKHA5XMY4LNHWQDYI2RHLTBGR3A75,0.05
3YS67JKWKBRVDSIQ9F8UVFJ1JQRX40,0.1
3Z1VWDJDMCSL9FEEWY1JWQIRHY8F8V,0.03
3Z1VWDJDMCXXDMC10K62ECWQF20F8X,0.05
3Z1VWDJDNDED63DNWYEYK1BZJ9X8FQ,0.01
3ZAK6NWIZ37QLEUJSP86OBIVCQQ9VS,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6FG931,0.05
3ZFB7PFNY1ZJD1XM4GHBRRAA6GF932,0.05
30GUUI0R316PRKEN69AJEXY15MMBCT,0.08
3ZSDUF3VXOXZ44ZW3SE86JT3CR623Z,0.05
3ZXEP6UEFFQUF1V5KFZ2RFEFLM08OQ,0.09
34RF8KPUOTU14SPS6MXYXNPWVK7SBH,0.14
3568B45QGKRG3Y1LZDHA1JA6BSCO3E,3
3589VT1T2BGMXIVHZGNGS492OQIJN8,0.03
35QUA2ABY634ZYN782PTB2BL5I8EGJ,0.1
35QUA2ABZ7MBAB0HZGYJHQ28USWGE7,0.02
361LJMRMCQ5CDYJ025B6700NV8CUR4,0.03
36HGGQAXL6L87J29O35QD9YQWSFBVG,0.04
36IAL8HYOXSPP9QYVLXZPMFW48E4R6,0.01
36MWL0IRGCO0L6PQ7W22BBNT0ICOHL,0.05
36R3RQSDPTXRSZ6X7FR6HZHDYAF078,0.25
375FCEJV4GX4B1VR293XJCDD0I7CCJ,0.6
375MF9UHMRPR2XWE6NL8JC3TL1HSX9,0.01
37672WDDC2JA93V4O46FCCJ2VAJNM9,0.25
378UBY8FQ61LFCJMHZWZTRZI59A8TB,0.08
378UBY8FR7AABMKBM232FCEFT60T8E,0.4
37CCG24EIZSNBY0O0RYFBPCKLTQZRW,0.15
31QBDMKNDPO96CGOU6OI3UH1N96L85,0.62
37NNZ8MO7S6VRHEMSEGUVBLX898EQM,0.02
37QHTW84X0Z4WRFH6C4VHQ7JNTDJDT,0.2
37ZHE2JT1D250TKIB56TICN73UM88S,0.08
38464Y8J3VK9Y56OSLPV9KDIFIGV4J,0.05
38DNTK7MFN2OC2PZPWU81IIJXME01H,0.02
38DNTK7MFN34LCW85JTSAD2CXFQ01S,0.01
38FWZZ3ILTDK8ICQRL4PWREV0HIYN7,0.12
38LYNH3Q5PUFYTLC9WG1VAJL0LTGM5,0.05
38MNOT6KWIG21RX6PKH1YJB8VKDT05,0.02
31R9JPCYP6DVE0AQVNO2QFRENFMWRA,0.02
38NH2CI7ROPJ1MAJ3F139HJ5CPPVU5,0.01
38NH2CI7SPCMWUJ4T62C2GD654VVUY,0.11
394TEHR260P29GUZO0UUQSDZ63O65J,0.01
39UNKKTVDFFX9VEX2EW7RYBUQ2JGYD,0.01
